编号,题干,选项,答案
1,关于时序逻辑电路的基础，以下描述错误的是：,A. 加法器不具备记忆信息的能力，其输出（计算结果）仅由输入决定。,错
1,关于时序逻辑电路的基础，以下描述错误的是：,B. 从数字电路的结构看，加法器内部不包含回路。,错
1,关于时序逻辑电路的基础，以下描述错误的是：,C. 时序逻辑电路通过构造回路，达到了存储信息的能力。典型代表是交叉耦合反向器对。,错
1,关于时序逻辑电路的基础，以下描述错误的是：,D. 交叉耦合反向器对具备额外的输入，允许用户通过输入修改内部储存的信息。,对
2,使用2个整数位和2个小数位表达−0.75，正确的答案是：,A. 1111,错
2,使用2个整数位和2个小数位表达−0.75，正确的答案是：,B. 1110,错
2,使用2个整数位和2个小数位表达−0.75，正确的答案是：,C. 1101,对
2,使用2个整数位和2个小数位表达−0.75，正确的答案是：,D. 1100,错
3,在二进制数的计算中，因低位无法表示计算结果，需要将计算结果传递给相邻的高位，这种现象叫做“进位”。,A. 对,对
3,在二进制数的计算中，因低位无法表示计算结果，需要将计算结果传递给相邻的高位，这种现象叫做“进位”。,B. 错,错
4,对于一个拥有三个逻辑变量（分别为A、B、C）的问题，若使用 · 表示逻辑与操作（通常省略不写），使用+表示逻辑或操作，使用!表示逻辑非操作，下列描述正确的是：,A. 表达式 A+BC 既不是最小项，也不是最大项。,对
4,对于一个拥有三个逻辑变量（分别为A、B、C）的问题，若使用 · 表示逻辑与操作（通常省略不写），使用+表示逻辑或操作，使用!表示逻辑非操作，下列描述正确的是：,B. A+（!B）是一个乘积项。,错
4,对于一个拥有三个逻辑变量（分别为A、B、C）的问题，若使用 · 表示逻辑与操作（通常省略不写），使用+表示逻辑或操作，使用!表示逻辑非操作，下列描述正确的是：,C. A+B+(!C)是一个最小项。,错
4,对于一个拥有三个逻辑变量（分别为A、B、C）的问题，若使用 · 表示逻辑与操作（通常省略不写），使用+表示逻辑或操作，使用!表示逻辑非操作，下列描述正确的是：,D. ABC是一个最大项。,错
5,使用2个整数位和2个小数位表达1.25，正确的答案应该是,A. 0100,错
5,使用2个整数位和2个小数位表达1.25，正确的答案应该是,B. 0101,对
5,使用2个整数位和2个小数位表达1.25，正确的答案应该是,C. 0110,错
5,使用2个整数位和2个小数位表达1.25，正确的答案应该是,D. 0111,错
6,在二进制数的计算中，计算结果超出了数字的正常表示范围，这种现象叫做“溢出”。,A. 对,对
6,在二进制数的计算中，计算结果超出了数字的正常表示范围，这种现象叫做“溢出”。,B. 错,错
7,下列两个3比特有符号补码数相加，结果是否溢出？ 111+101,A. 没有溢出,对
7,下列两个3比特有符号补码数相加，结果是否溢出？ 111+101,B. 有溢出,错
8,根据老师刚才的讲解，你认为以下描述哪一个是错误的？,A. 计算机正在改造我们的生活方式，让它变得更加信息化和智能化。,错
8,根据老师刚才的讲解，你认为以下描述哪一个是错误的？,B. 数字逻辑课程主要培养“使用硬件解题”的思维，理解信息的表示、处理、传输和存储，以及物理世界的并发。,错
8,根据老师刚才的讲解，你认为以下描述哪一个是错误的？,C. 课程考核采用期末闭卷考试（55%）/ 实验（35%）/ 平时作业和互动（10%）的比例。,错
8,根据老师刚才的讲解，你认为以下描述哪一个是错误的？,D. 被动学习能够比主动学习获得更高的学习内容留存率，其中听讲可以达到90%，而教授给他人只能达到5%。,对
9,关于投币机控制器的设计与实现，以下说法错误的是：,A. 对于投币机控制器，它的实现方式有很多种，但本质上都是通过对外界的输入和系统的状态进行某种形式的逻辑运算，以达到更新系统状态的目的。,错
9,关于投币机控制器的设计与实现，以下说法错误的是：,B. 对于投币机控制器，系统是否要对用户做出响应（比如允许用户抓娃娃），取决于系统所处的状态。,错
9,关于投币机控制器的设计与实现，以下说法错误的是：,C. 对于投币机控制器的数字电路实现，系统的状态是在时钟上升沿到来的时候完成更新的。,错
9,关于投币机控制器的设计与实现，以下说法错误的是：,D. 对于投币机控制器的数字电路实现，系统的新状态仅在时钟上升沿到来的时候才能够计算出来。,对
10,关于时序逻辑电路的基础，以下描述错误的是：,A. 加法器不具备记忆信息的能力，其输出（计算结果）仅由输入决定。,错
10,关于时序逻辑电路的基础，以下描述错误的是：,B. 从数字电路的结构看，加法器内部不包含回路。,错
10,关于时序逻辑电路的基础，以下描述错误的是：,C. 时序逻辑电路通过构造回路，达到了存储信息的能力。典型代表是交叉耦合反向器对。,错
10,关于时序逻辑电路的基础，以下描述错误的是：,D. 交叉耦合反向器对具备额外的输入，允许用户通过输入修改内部储存的信息。,对
11,关于投币机控制器的设计与实现，以下说法错误的是：,A. 对于投币机控制器，它的实现方式有很多种，但本质上都是通过对外界的输入和系统的状态进行某种形式的逻辑运算，以达到更新系统状态的目的。,错
11,关于投币机控制器的设计与实现，以下说法错误的是：,B. 对于投币机控制器，系统是否要对用户做出响应（比如允许用户抓娃娃），取决于系统所处的状态。,错
11,关于投币机控制器的设计与实现，以下说法错误的是：,C. 对于投币机控制器的数字电路实现，系统的状态是在时钟上升沿到来的时候完成更新的。,错
11,关于投币机控制器的设计与实现，以下说法错误的是：,D. 对于投币机控制器的数字电路实现，系统的新状态仅在时钟上升沿到来的时候才能够计算出来。,对
12,关于补码数，下列说法正确的是：一个正整数的补码表示和原码表示恰好相同。例如，十进制的3可以用四比特原码表示为0011，也可以用四比特补码表示为0011。,A. 对,对
12,关于补码数，下列说法正确的是：一个正整数的补码表示和原码表示恰好相同。例如，十进制的3可以用四比特原码表示为0011，也可以用四比特补码表示为0011。,B. 错,错
13,以下陈述当中，哪一个是错误的？,A. 定点数表示法与浮点数表示法有可能能够表示同一个数。另外，也可能存在某些数，只能够使用定点数表示法或浮点数表示法其中一种进行表示。,错
13,以下陈述当中，哪一个是错误的？,B. 定点数表示法可以与补码表示法搭配使用，用于表示负数。,错
13,以下陈述当中，哪一个是错误的？,C. 两个采用补码表示的定点数进行加法操作，可以无条件地直接按照二进制数的加法规则进行计算便能够得到正确结果。,对
13,以下陈述当中，哪一个是错误的？,D. 定点数的优势在于计算代价较低，浮点数的优势在于表示范围更大。,错
14,根据刚刚介绍过的D锁存器和D触发器的知识，下列描述错误的是：,A. D锁存器和D触发器都是时序逻辑器件。,错
14,根据刚刚介绍过的D锁存器和D触发器的知识，下列描述错误的是：,B. D锁存器的工作方式是，在时钟的上升沿到来时，锁存器将会读取输入端的数据并且进行存储。,对
14,根据刚刚介绍过的D锁存器和D触发器的知识，下列描述错误的是：,C. D触发器的工作方式是，在时钟的上升沿到来时，触发器将会读取输入端的数据并且进行存储。,错
